Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,0.01,0.04,.07,-.01,-.12,-.24,-.16,.07,-.04,-.14,.01,.06,-.04,***,***,-.02,-.11,-.06
1881,-0.07,-0.05,.11,.11,.10,-.04,-.06,-.01,-.03,.01,.01,.10,.01,.01,-.02,.10,-.04,.00
1882,0.08,0.08,.08,-.01,-.03,-.15,-.04,.01,-.04,.04,.00,-.06,.00,.01,.09,.01,-.06,.00
1883,-0.01,-0.07,-.08,-.06,-.09,-.02,-.08,-.05,-.10,-.06,-.04,-.05,-.06,-.06,-.05,-.08,-.05,-.06
1884,-0.08,-0.05,-.09,-.21,-.31,-.29,-.21,-.06,-.10,-.06,-.09,-.14,-.14,-.13,-.06,-.20,-.19,-.09
1885,-0.19,-0.22,-.29,-.35,-.32,-.42,-.33,-.22,-.19,-.12,-.10,-.09,-.24,-.24,-.18,-.32,-.32,-.14
1886,-0.14,-0.19,-.16,-.19,-.15,-.32,-.21,-.18,-.14,-.23,-.14,-.28,-.19,-.18,-.14,-.17,-.24,-.17
1887,-0.36,-0.43,-.27,-.30,-.34,-.27,-.26,-.16,-.29,-.22,-.24,-.22,-.28,-.29,-.36,-.30,-.23,-.25
1888,-0.2,-0.12,-.20,-.19,-.28,-.31,-.20,-.09,-.04,.07,.07,.15,-.11,-.14,-.18,-.23,-.20,.03
1889,0.09,0.04,.14,.04,.02,-.12,-.06,-.19,-.16,-.09,-.05,-.03,-.03,-.02,.09,.07,-.12,-.10
1890,-0.2,-0.31,-.33,-.34,-.43,-.32,-.32,-.38,-.37,-.39,-.24,-.16,-.31,-.30,-.18,-.36,-.34,-.33
1891,-0.2,-0.25,-.19,-.19,-.16,-.28,-.22,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.20,-.18,-.24,-.16
1892,-0.08,-0.05,-.13,-.21,-.22,-.37,-.25,-.21,-.12,.00,-.02,-.11,-.15,-.14,-.06,-.19,-.28,-.05
1893,-0.12,-0.17,-.11,-.24,-.24,-.32,-.14,-.16,-.16,-.08,-.03,-.02,-.15,-.16,-.13,-.19,-.21,-.09
1894,-0.13,-0.15,-.23,-.35,-.35,-.40,-.26,-.20,-.22,-.17,-.03,-.06,-.21,-.21,-.10,-.31,-.29,-.14
1895,-0.12,-0.05,-.15,-.24,-.23,-.21,-.14,-.06,-.18,-.11,-.20,-.05,-.14,-.15,-.08,-.21,-.13,-.16
1896,-0.08,-0.06,-.03,-.01,-.14,-.29,-.04,.01,-.02,.09,.13,.13,-.02,-.04,-.06,-.06,-.11,.07
1897,0.1,0.08,.12,.01,-.15,-.16,-.08,-.11,-.09,-.09,-.09,-.12,-.05,-.03,.10,-.01,-.12,-.09
1898,-0.09,-0.15,-.22,-.33,-.32,-.29,-.32,-.35,-.25,-.31,-.25,-.19,-.26,-.25,-.12,-.29,-.32,-.27
1899,-0.19,-0.12,-.13,-.16,-.21,-.27,-.15,-.10,-.04,-.11,-.08,-.05,-.13,-.15,-.17,-.17,-.17,-.08
1900,-0.09,0.03,-.04,-.07,-.12,-.09,-.12,-.08,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.10,-.02
1901,-0.1,-0.12,-.14,-.14,-.18,-.25,-.29,-.24,-.16,-.26,-.12,-.14,-.18,-.17,-.10,-.15,-.26,-.18
1902,-0.18,-0.14,-.17,-.17,-.24,-.22,-.22,-.30,-.24,-.26,-.25,-.22,-.22,-.21,-.15,-.19,-.25,-.25
1903,-0.24,-0.22,-.29,-.35,-.36,-.39,-.27,-.35,-.50,-.47,-.43,-.46,-.36,-.34,-.23,-.33,-.34,-.47
1904,-0.5,-0.55,-.55,-.50,-.59,-.48,-.42,-.42,-.47,-.37,-.25,-.30,-.45,-.46,-.50,-.55,-.44,-.36
1905,-0.26,-0.34,-.19,-.20,-.27,-.27,-.29,-.16,-.16,-.20,-.20,-.06,-.22,-.24,-.30,-.22,-.24,-.19
1906,0.03,-0.03,-.15,-.13,-.26,-.26,-.18,-.22,-.31,-.22,-.34,-.32,-.20,-.18,-.02,-.18,-.22,-.29
1907,-0.26,-0.28,-.23,-.27,-.33,-.31,-.29,-.28,-.27,-.24,-.35,-.34,-.29,-.29,-.29,-.28,-.29,-.29
1908,-0.33,-0.36,-.38,-.39,-.45,-.46,-.34,-.34,-.40,-.42,-.40,-.42,-.39,-.39,-.35,-.41,-.38,-.41
