Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.15,-0.27,-0.04,-0.35,-0.11,-0.01,-0.8,-0.46,-0.26,-0.14,-0.09,-0.03,0.05,0.65
1881,-0.07,-0.17,0.01,-0.33,0.11,-0.06,-0.9,-0.43,-0.19,0.1,0.12,-0.04,-0.07,0.58
1882,-0.1,-0.21,0.0,-0.3,-0.04,0.02,-1.4,-0.25,-0.15,-0.05,-0.03,0.02,0.04,0.61
1883,-0.17,-0.28,-0.06,-0.35,-0.16,-0.01,-0.18,-0.54,-0.27,-0.17,-0.14,-0.03,0.07,0.48
1884,-0.28,-0.43,-0.14,-0.6,-0.14,-0.14,-1.3,-0.63,-0.47,-0.13,-0.15,-0.19,-0.02,0.63
1885,-0.33,-0.43,-0.24,-0.65,-0.12,-0.27,-1.51,-0.67,-0.46,-0.06,-0.19,-0.33,-0.15,0.8
1886,-0.31,-0.43,-0.19,-0.57,-0.19,-0.21,-1.59,-0.5,-0.4,-0.21,-0.17,-0.2,-0.2,0.57
1887,-0.36,-0.43,-0.28,-0.52,-0.29,-0.28,-1.76,-0.5,-0.29,-0.29,-0.29,-0.27,-0.26,0.3
1888,-0.17,-0.23,-0.11,-0.42,0.11,-0.29,-1.3,-0.42,-0.25,0.07,0.14,-0.31,-0.23,0.14
1889,-0.1,-0.17,-0.03,-0.29,0.09,-0.16,-0.68,-0.22,-0.27,0.03,0.16,-0.15,-0.15,0.43
1890,-0.34,-0.38,-0.31,-0.45,-0.36,-0.22,-1.13,-0.55,-0.27,-0.26,-0.45,-0.17,-0.27,0.13
1891,-0.22,-0.26,-0.19,-0.43,-0.07,-0.21,-1.12,-0.34,-0.37,0.02,-0.15,-0.18,-0.24,-0.18
1892,-0.27,-0.39,-0.15,-0.44,-0.28,-0.08,-1.15,-0.66,-0.17,-0.32,-0.25,0.02,-0.21,0.07
1893,-0.31,-0.47,-0.15,-0.52,-0.35,-0.05,-0.7,-0.55,-0.47,-0.41,-0.29,0.07,-0.2,-0.06
1894,-0.3,-0.39,-0.21,-0.33,-0.33,-0.24,-0.95,-0.33,-0.19,-0.47,-0.18,-0.15,-0.35,-0.4
1895,-0.22,-0.3,-0.14,-0.41,-0.06,-0.26,-0.67,-0.53,-0.27,-0.13,0.01,-0.19,-0.32,-0.6
1896,-0.11,-0.19,-0.02,-0.35,0.1,-0.15,-0.88,-0.37,-0.23,0.06,0.15,-0.14,-0.13,0.23
1897,-0.11,-0.16,-0.05,-0.36,0.17,-0.23,-0.56,-0.47,-0.24,0.14,0.21,-0.18,-0.27,0.38
1898,-0.27,-0.29,-0.26,-0.36,-0.21,-0.26,-1.17,-0.24,-0.24,-0.18,-0.25,-0.27,-0.21,0.36
1899,-0.17,-0.21,-0.13,-0.25,-0.11,-0.18,-1.07,-0.11,-0.15,-0.15,-0.07,-0.14,-0.22,0.56
1900,-0.08,-0.09,-0.06,-0.21,0.17,-0.3,-0.58,-0.17,-0.16,0.09,0.26,-0.28,-0.29,0.25
1901,-0.16,-0.13,-0.18,-0.17,-0.03,-0.3,-0.45,-0.12,-0.14,-0.05,-0.01,-0.27,-0.34,0.24
1902,-0.28,-0.33,-0.22,-0.54,-0.03,-0.35,-1.42,-0.52,-0.32,-0.02,-0.05,-0.28,-0.43,-0.07
1903,-0.37,-0.38,-0.36,-0.48,-0.28,-0.38,-0.3,-0.43,-0.56,-0.23,-0.33,-0.35,-0.4,-0.49
1904,-0.47,-0.48,-0.45,-0.51,-0.45,-0.44,-0.19,-0.6,-0.55,-0.43,-0.47,-0.37,-0.49,-1.32
1905,-0.26,-0.29,-0.22,-0.41,-0.08,-0.35,-0.08,-0.24,-0.62,-0.11,-0.04,-0.32,-0.37,-0.33
1906,-0.22,-0.24,-0.2,-0.26,-0.18,-0.23,-0.28,-0.07,-0.39,-0.21,-0.15,-0.2,-0.22,-0.71
1907,-0.38,-0.48,-0.29,-0.6,-0.3,-0.29,-0.6,-0.74,-0.52,-0.3,-0.29,-0.2,-0.37,-1.2
1908,-0.42,-0.46,-0.39,-0.49,-0.43,-0.35,-0.26,-0.56,-0.51,-0.42,-0.44,-0.28,-0.48,0.68
1909,-0.48,-0.49,-0.47,-0.54,-0.46,-0.44,-0.78,-0.64,-0.44,-0.43,-0.5,-0.37,-0.52,-0.57
1910,-0.43,-0.44,-0.42,-0.42,-0.47,-0.38,-0.6,-0.25,-0.49,-0.47,-0.48,-0.33,-0.45,0.16
1911,-0.44,-0.42,-0.45,-0.43,-0.41,-0.48,-0.31,-0.43,-0.47,-0.41,-0.41,-0.43,-0.53,0.05
1912,-0.36,-0.46,-0.24,-0.6,-0.17,-0.36,-0.54,-0.8,-0.5,-0.26,-0.07,-0.36,-0.29,-1.63
1913,-0.34,-0.42,-0.25,-0.45,-0.26,-0.35,-0.52,-0.34,-0.51,-0.38,-0.13,-0.28,-0.4,-1.04
1914,-0.15,-0.19,-0.1,-0.26,-0.05,-0.18,-0.39,-0.17,-0.28,-0.1,0.01,-0.15,-0.18,-0.36
1915,-0.14,-0.14,-0.13,-0.24,0.0,-0.22,-0.62,-0.17,-0.18,-0.01,0.0,-0.15,-0.23,-1.98
1916,-0.36,-0.42,-0.3,-0.38,-0.44,-0.23,-0.5,-0.55,-0.24,-0.49,-0.39,-0.23,-0.17,-1.05
1917,-0.46,-0.58,-0.35,-0.51,-0.63,-0.19,-0.84,-0.51,-0.43,-0.69,-0.57,-0.23,-0.09,0.06
1918,-0.3,-0.4,-0.19,-0.41,-0.33,-0.14,-1.03,-0.28,-0.34,-0.38,-0.27,-0.06,-0.23,-0.28
